sample_id,total_predicted_mutations,total_reads,num_contigs,avg_coverage_longest_contig,snp_synonymous,large_deletion,small_indel,snp_nonsynonymous,snp_intergenic,large_insertion,large_substitution,snp_nonsense,snp_noncoding,snp_nonsynonymous|synonymous,snp_synonymous|nonsynonymous,snp_nonsynonymous|nonsynonymous,snp_nonsense|nonsynonymous,snp_synonymous|synonymous,snp_nonsense|synonymous,lineage,% match,sourmash_res_unknown_col,Manual Check if needed
citrea,94,18736527,27,3.071869,57.0,23.0,10.0,4.0,,,,,,,,,,,,Formosa agariphila KMM 3901 strain type strain: KMM 3901 chromosome I,100.0,,Rename?
salex,81,8665081,76,260.6142,46.0,1.0,4.0,10.0,20.0,,,,,,,,,,,Haliea salexigens DSM 19537 G533DRAFT_scaffold00001.1_C,99.6,NZ_AUHJ01000001.1,
nitzsch,175,12236196,8,349.8134,120.0,,23.0,19.0,13.0,,,,,,,,,,,Aureimonas sp. AU20 plasmid pAU20rrn,88.0,Sourmash fail,ANI mismatch
fagar,115,7127493,1,249.1811,4.0,,100.0,3.0,8.0,,,,,,,,,,,Formosa agariphila KMM 3901 strain type strain: KMM 3901 chromosome I,99.5,,
atcc26499,122,4820177,1,164.5528,12.0,1.0,30.0,57.0,13.0,6.0,2.0,1.0,,,,,,,,,,,
hot5_c3,333,1328235,2,46.85789,2.0,,317.0,7.0,7.0,,,,,,,,,,,Xuhuaishuia manganoxidans strain DY6-4 plasmid sequence,90.4,Sourmash fail,"*FastANI to Nanopore C03 from Eddie Fadeev is 99.91%, ok"
azure,44,1310779,166,40.07159,3.0,,4.0,8.0,29.0,,,,,,,,,,,Vibrio azureus NBRC 104587 DNA,97.8,,
bdim,53,3560938,1,153.0435,3.0,2.0,40.0,6.0,2.0,,,,,,,,,,,Brevundimonas diminuta strain XGC1 scaffolds_1,95.6,NZ_LBNT01000001.1,our strain ATCC 19146
hot5_b10,408,2013343,12,50.75518,1.0,,391.0,5.0,11.0,,,,,,,,,,,Marinovum algicola strain FF3,97.0,NZ_FNYY01000061.1,
fang,30,2609063,37,127.3528,17.0,,,11.0,1.0,1.0,,,,,,,,,,Fangia hongkongensis DSM 21703 genomic scaffold A37QDRAFT_scaffold_0.1,97.9,NZ_KB902239.1,
pgall,20,6590004,8,220.7654,2.0,1.0,10.0,5.0,1.0,,,1.0,,,,,,,,Phaeobacter gallaeciensis DSM 26640,99.1,,
t2,7,244599,1,10.22108,,2.0,1.0,1.0,,,3.0,,,,,,,,,,,,
dfl-12,3,6416118,6,210.3343,,,2.0,1.0,,,,,,,,,,,,Dinoroseobacter shibae DFL 12,99.4,NC_009952.1,
vnat,15,1383186,2,41.30266,1.0,,10.0,3.0,,,,1.0,,,,,,,,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759 chromosome 1,98.0,,
abie,23,1615113,54,29.93536,6.0,,4.0,7.0,6.0,,,,,,,,,,,Pseudomonas abietaniphila strain ATCC 700689,99.9,,
hot5_b8,579,10864320,2,360.7634,3.0,1.0,565.0,6.0,4.0,,,,,,,,,,,Xuhuaishuia manganoxidans strain DY6-4 plasmid sequence,91.3,Sourmash Fail,"*FastANI to Nanopore B08 from Eddie Fadeev is 99.98%, ok"
atlcs,12,3314337,1,166.7923,2.0,,2.0,4.0,4.0,,,,,,,,,,,Croceibacter atlanticus HTCC2559,100.0,NC_014230.1,
luca8,144,1743091,8,49.88028,100.0,,18.0,13.0,13.0,,,,,,,,,,,Aureimonas sp. AU20 plasmid pAU20rrn,88.2,Sourmash Fail,ANI mismatch
hot5_e6,441,10089529,12,259.1472,5.0,,424.0,4.0,8.0,,,,,,,,,,,Marinovum algicola strain FF3,97.89,,
